college_Tier,name,avg_Parent_Rank,avg_Student_Rank,pc_Parents_Q1,pc_Parents_Q5,pc_Students_Q1,pc_Students_Q5
Selective - Highly Selective,Youngstown State University,0.560796997,0.57429749,9.3525417,16.777298,10.778929,24.183246
Selective - Highly Selective,Yale University,0.831224748,0.76139319,3.632801,73.170477,7.8232378,63.206333
Selective - Highly Selective,Xavier University Of Louisiana,0.526606861,0.67389733,16.702759,24.534991,7.3048584,42.113906
Selective - Highly Selective,Xavier University,0.766405977,0.69246626,2.6079178,56.224072,8.8289201,44.493154
Selective - Highly Selective,Wright State University,0.629302658,0.60530883,4.6605695,25.837713,9.20358,26.007104
Selective - Highly Selective,Worcester State University,0.64151401,0.63641423,6.1302006,31.744808,8.7712638,34.138009
Selective - Highly Selective,Woodbury University,0.508644148,0.61899149,18.690574,21.330608,10.885791,36.586896
Selective - Highly Selective,Wofford College,0.786153862,0.69950593,3.7601516,61.292303,9.7072139,49.528337
Selective - Highly Selective,Wittenberg University,0.723243691,0.66152334,3.152512,45.398948,7.9444557,34.669617
Selective - Highly Selective,Wisconsin Lutheran College,0.645215392,0.58566701,2.7858173,26.178065,11.056203,25.763634
Selective - Highly Selective,Winthrop University,0.618676917,0.59178835,7.647299,30.073237,10.220286,21.979211
Selective - Highly Selective,Winston-Salem State University,0.437404099,0.56936055,21.012121,10.503095,6.6536695,17.111599
Selective - Highly Selective,Wingate University,0.650985407,0.61691082,6.865561,34.114119,10.183839,28.204003
Selective - Highly Selective,Wilmington University,0.665078265,0.59612221,5.0092079,37.262225,11.676523,25.036645
Selective - Highly Selective,Wilmington College,0.567399377,0.61234188,7.2296314,14.960748,7.4388444,24.744062
Selective - Highly Selective,Williams Baptist College,0.457316135,0.53135854,14.137162,7.6817095,15.300258,17.440754
Selective - Highly Selective,William Penn University,0.532653634,0.5918774,9.7167201,14.246759,11.108582,23.379175
Selective - Highly Selective,William Paterson University Of New Jersey,0.633704371,0.64076424,8.7964386,36.041641,10.139843,37.352812
Selective - Highly Selective,William Jewell College,0.67770138,0.62219679,3.6533825,38.588998,11.45502,34.183976
Selective - Highly Selective,William Carey University,0.52250429,0.52692306,15.107431,18.275625,14.11427,17.38762
Selective - Highly Selective,Willamette University,0.726932706,0.66373044,3.5010751,50.07205,9.7841471,42.955619
Selective - Highly Selective,Wilkes University,0.620717956,0.69586605,6.4467296,28.607345,7.3638998,45.722342
Selective - Highly Selective,Widener University,0.663971051,0.68707937,6.0739812,37.703013,8.5861489,47.851676
Selective - Highly Selective,Wichita State University,0.627693912,0.5843612,7.1082503,29.388431,11.539234,25.540128
Selective - Highly Selective,Whitworth University,0.696224134,0.59157497,3.6984175,40.770158,14.893535,31.908369
Selective - Highly Selective,Whittier College,0.667977159,0.63001615,7.8898013,42.708838,12.566003,38.6228
Selective - Highly Selective,Wheelock College,0.651705952,0.54885799,6.8848446,39.003238,14.230935,18.357226
Selective - Highly Selective,Wheeling Jesuit University,0.618062439,0.66543138,6.8703741,27.4647,7.8670397,38.720274
Selective - Highly Selective,"Wheaton College of Wheaton, IL",0.752677705,0.59963143,5.5614844,57.469016,16.1089,36.005855
Selective - Highly Selective,"Wheaton College of Norton, MA",0.739902107,0.64772576,3.643702,53.947222,10.412799,38.748592
Selective - Highly Selective,Westfield State University,0.692703568,0.66440374,3.940627,38.309291,6.7261681,36.731052
Selective - Highly Selective,Western Washington University,0.722993232,0.63810736,3.3749826,48.089266,10.390259,36.3213
Selective - Highly Selective,Western State Colorado University,0.690175063,0.57171303,5.2782524,40.723628,12.713717,24.552016
Selective - Highly Selective,Western Oregon University,0.640551604,0.59685761,5.7862885,30.384186,11.220481,25.424844
Selective - Highly Selective,Western New Mexico University,0.447101461,0.50785697,23.116118,10.711028,15.22173,18.354486
Selective - Highly Selective,Western New England University,0.685111487,0.73077226,3.8180862,38.479948,6.2328123,51.024652
Selective - Highly Selective,Western Michigan University,0.735716525,0.64738911,3.4533065,50.939882,8.9372136,36.153674
Selective - Highly Selective,Western Kentucky University,0.580086082,0.56745535,10.337527,24.580926,10.515909,20.350182
Selective - Highly Selective,Western Illinois University,0.663957296,0.65294802,4.7720104,35.636762,7.2949126,35.386285
Selective - Highly Selective,Western Carolina University,0.635753309,0.58489406,7.0328958,31.885254,9.683013,21.464841
Selective - Highly Selective,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",0.635603348,0.63013411,7.6165147,32.874465,10.251215,35.386387
Selective - Highly Selective,West Virginia State University,0.520554741,0.49208882,13.96217,15.427285,15.700905,14.022672
Selective - Highly Selective,West Virginia Community And Technical College System,0.51569512,0.54727393,13.474824,13.261768,13.574754,21.252294
Selective - Highly Selective,West Texas A&M University,0.573865332,0.59850162,10.390026,22.097039,11.064205,26.007932
Selective - Highly Selective,West Liberty University,0.56729949,0.56933689,8.7068163,15.892667,11.232595,20.656762
Selective - Highly Selective,West Chester University Of Pennsylvania,0.698635974,0.64984936,4.2028327,43.262208,9.0811253,36.745709
Selective - Highly Selective,Wentworth Institute Of Technology,0.65085187,0.72319233,6.6957332,35.601532,7.7014759,55.344498
Selective - Highly Selective,Webster University,0.678166996,0.58693975,4.6681557,38.68705,8.7793529,23.156345
Selective - Highly Selective,Weber State University,0.674220992,0.54804158,3.6054473,31.987578,17.754138,26.281932
Selective - Highly Selective,Waynesburg University,0.569298458,0.6357885,10.090327,21.511327,8.7696686,32.001048
Selective - Highly Selective,Wayne State University,0.591245362,0.59070599,12.600836,30.644849,12.207291,29.528004
Selective - Highly Selective,Washington State University,0.705219965,0.66634655,4.5168158,44.993028,10.463667,42.949212
Selective - Highly Selective,Washington College,0.740328429,0.68641001,3.3713829,55.264652,7.6877758,43.938386
Selective - Highly Selective,Washington Adventist University,0.588517929,0.56581199,8.4367946,27.324191,12.482061,26.355398
Selective - Highly Selective,Warren Wilson College,0.68476781,0.47196355,6.592124,44.938961,12.905329,9.2762262
Selective - Highly Selective,Walsh University,0.628139932,0.63587564,4.9383417,23.345116,9.6683487,29.027015
Selective - Highly Selective,Wagner College,0.728187582,0.70179075,5.1794525,51.598799,9.6928515,51.48288
Selective - Highly Selective,Wabash College,0.698571874,0.73079395,4.3702494,43.841499,5.7202917,52.529943
Selective - Highly Selective,Viterbo University,0.612457416,0.60003656,6.0364258,23.320548,8.0766968,23.277284
Selective - Highly Selective,Virginia Wesleyan College,0.649073514,0.59829491,8.0985546,37.16532,9.6118107,25.14863
Selective - Highly Selective,Virginia State University,0.458169126,0.5723834,19.235934,13.084355,10.079627,21.402526
Selective - Highly Selective,Virginia Polytechnic Institute & State University,0.763797142,0.73210704,2.8448775,57.719231,7.7313423,55.920398
Selective - Highly Selective,Virginia Military Institute,0.740095063,0.77968436,4.6043575,53.076243,4.4441618,65.664411
Selective - Highly Selective,Virginia Commonwealth University,0.647400858,0.60991919,7.0848346,36.916146,10.156862,30.142269
Selective - Highly Selective,Vanguard University Of Southern California,0.633686676,0.54083663,6.1830804,31.647813,17.006332,26.287606
Selective - Highly Selective,Valparaiso University,0.726216153,0.68778884,2.8814238,47.671324,7.6623976,44.114989
Selective - Highly Selective,Valley City State University,0.514520635,0.63899821,11.091972,11.315639,6.4985909,26.98589
Selective - Highly Selective,Valdosta State University,0.612726831,0.58293021,8.0228448,29.834843,11.918643,22.987187
Selective - Highly Selective,Utica College,0.54162621,0.67137057,13.10263,18.20728,6.4674199,37.125641
Selective - Highly Selective,Utah State University,0.670506387,0.51323152,3.8503442,33.758709,24.491775,26.16896
Selective - Highly Selective,Ursinus College,0.709979415,0.71367967,3.479981,46.926391,7.8792587,54.010713
Selective - Highly Selective,Upper Iowa University,0.501764599,0.57560396,14.861903,12.820062,9.0455964,18.560445
Selective - Highly Selective,University Of Wyoming,0.653260665,0.64414299,4.9865425,32.275864,10.190593,37.033355
Selective - Highly Selective,University Of West Georgia,0.626400615,0.58102518,7.0339933,30.761442,11.075152,22.687548
Selective - Highly Selective,University Of West Florida,0.601680448,0.58256996,8.897008,26.158512,12.573582,25.563759
Selective - Highly Selective,University Of West Alabama,0.495350775,0.57393128,18.134975,16.312902,9.600959,20.448235
Selective - Highly Selective,University Of Washington System,0.708730982,0.69790483,5.3789549,48.279393,10.706259,51.696789
